sensor_id,timestamp_recorded_utc,no2_ppb,pm25_ugm3,temp_c,rh_pct,firmware,status,no2_ugm3
ZEPHYR_001,2025-06-15 00:00:00+00:00,25.2,6.67,12.42,77.34,1.4.2,OK,49.47
ZEPHYR_001,2025-06-15 01:00:00+00:00,22.16,8.62,9.66,81.89,1.4.2,OK,43.93
ZEPHYR_001,2025-06-15 02:00:00+00:00,20.43,11.01,10.89,85.9,1.4.2,OK,40.33
ZEPHYR_001,2025-06-15 03:00:00+00:00,17.73,2.65,12.8,98.05,1.4.2,OK,34.76
ZEPHYR_001,2025-06-15 04:00:00+00:00,19.32,14.3,12.89,91.62,1.4.2,OK,37.87
ZEPHYR_001,2025-06-15 05:00:00+00:00,25.02,10.65,11.89,67.69,1.4.2,OK,49.21
ZEPHYR_001,2025-06-15 06:00:00+00:00,24.36,7.34,15.31,86.84,1.4.2,OK,47.35
ZEPHYR_001,2025-06-15 07:00:00+00:00,24.28,12.42,16.91,59.22,1.4.2,OK,46.93
ZEPHYR_001,2025-06-15 08:00:00+00:00,20.64,7.46,17.79,68.52,1.4.2,OK,39.77
ZEPHYR_001,2025-06-15 09:00:00+00:00,31.57,9.95,19.33,59.12,1.4.2,OK,60.52
ZEPHYR_001,2025-06-15 10:00:00+00:00,27.37,7.88,23.26,51.99,1.4.2,OK,51.77
ZEPHYR_001,2025-06-15 11:00:00+00:00,20.67,9.54,21.89,29.77,1.4.2,OK,39.28
ZEPHYR_001,2025-06-15 12:00:00+00:00,34.37,8.0,22.05,40.35,1.4.2,OK,65.28
ZEPHYR_001,2025-06-15 13:00:00+00:00,24.7,10.45,23.37,35.01,1.4.2,OK,46.7
ZEPHYR_001,2025-06-15 14:00:00+00:00,29.69,10.35,24.37,48.05,1.4.2,OK,55.95
ZEPHYR_001,2025-06-15 15:00:00+00:00,25.94,10.2,25.16,58.06,1.4.2,OK,48.75
ZEPHYR_001,2025-06-15 16:00:00+00:00,24.13,9.25,24.22,36.47,1.4.2,OK,45.49
ZEPHYR_001,2025-06-15 17:00:00+00:00,24.17,9.53,22.37,48.36,1.4.2,OK,45.85
ZEPHYR_001,2025-06-15 18:00:00+00:00,18.07,13.98,22.37,42.47,1.4.2,OK,34.28
ZEPHYR_001,2025-06-15 19:00:00+00:00,18.47,7.67,16.7,51.72,1.4.2,OK,35.73
ZEPHYR_001,2025-06-15 20:00:00+00:00,23.78,8.46,16.97,69.32,1.4.2,OK,45.95
ZEPHYR_001,2025-06-15 21:00:00+00:00,18.53,10.45,14.6,60.84,1.4.2,OK,36.1
ZEPHYR_001,2025-06-15 22:00:00+00:00,13.77,11.85,13.96,82.03,1.4.2,OK,26.89
ZEPHYR_001,2025-06-15 23:00:00+00:00,25.78,7.15,12.35,72.35,1.4.2,OK,50.63
ZEPHYR_001,2025-06-16 00:00:00+00:00,26.39,8.73,12.88,84.43,1.4.2,OK,51.73
ZEPHYR_001,2025-06-16 01:00:00+00:00,21.64,5.75,12.63,78.35,1.4.2,OK,42.45
ZEPHYR_001,2025-06-16 02:00:00+00:00,18.55,6.61,11.13,89.37,1.4.2,OK,36.58
ZEPHYR_001,2025-06-16 03:00:00+00:00,27.31,8.38,11.61,79.27,1.4.2,OK,53.77
ZEPHYR_001,2025-06-16 04:00:00+00:00,19.65,7.57,12.9,76.03,1.4.2,OK,38.51
ZEPHYR_001,2025-06-16 05:00:00+00:00,29.28,1.73,13.87,74.51,1.4.2,OK,57.19
ZEPHYR_001,2025-06-16 06:00:00+00:00,25.24,8.87,18.55,60.49,1.4.2,OK,48.51
ZEPHYR_001,2025-06-16 07:00:00+00:00,24.7,4.88,20.57,68.69,1.4.2,OK,47.15
ZEPHYR_001,2025-06-16 08:00:00+00:00,25.98,5.91,18.61,66.52,1.4.2,WARN,49.92
ZEPHYR_001,2025-06-16 09:00:00+00:00,30.45,12.56,19.6,60.58,1.4.2,OK,58.32
ZEPHYR_001,2025-06-16 10:00:00+00:00,31.57,10.75,18.4,60.22,1.4.2,OK,60.71
ZEPHYR_001,2025-06-16 11:00:00+00:00,31.96,6.62,22.69,55.99,1.4.2,OK,60.57
ZEPHYR_001,2025-06-16 12:00:00+00:00,36.42,5.35,22.79,36.97,1.4.2,OK,69.0
ZEPHYR_001,2025-06-16 13:00:00+00:00,35.83,10.09,22.75,45.3,1.4.2,OK,67.89
ZEPHYR_001,2025-06-16 14:00:00+00:00,33.79,8.48,23.17,29.13,1.4.2,OK,63.93
ZEPHYR_001,2025-06-16 15:00:00+00:00,28.42,9.05,24.1,37.62,1.4.2,OK,53.6
ZEPHYR_001,2025-06-16 16:00:00+00:00,29.31,14.35,24.3,31.84,1.4.2,OK,55.25
ZEPHYR_001,2025-06-16 17:00:00+00:00,19.14,9.73,22.76,59.43,1.4.2,OK,36.26
ZEPHYR_001,2025-06-16 18:00:00+00:00,19.4,8.01,20.99,46.69,1.4.2,OK,36.98
ZEPHYR_001,2025-06-16 19:00:00+00:00,21.8,7.95,17.76,52.27,1.4.2,OK,42.01
ZEPHYR_001,2025-06-16 20:00:00+00:00,17.57,9.34,14.02,73.53,1.4.2,OK,34.3
ZEPHYR_001,2025-06-16 21:00:00+00:00,21.66,5.65,14.66,51.91,1.4.2,OK,42.19
ZEPHYR_001,2025-06-16 22:00:00+00:00,20.81,10.76,14.92,47.64,1.4.2,OK,40.5
ZEPHYR_001,2025-06-16 23:00:00+00:00,31.12,9.84,14.57,80.73,1.4.2,OK,60.64
ZEPHYR_001,2025-06-17 00:00:00+00:00,19.53,8.2,12.5,74.34,1.4.2,OK,38.33
ZEPHYR_001,2025-06-17 01:00:00+00:00,22.23,8.36,13.46,77.48,1.4.2,OK,43.49
ZEPHYR_001,2025-06-17 02:00:00+00:00,26.63,6.47,12.31,69.03,1.4.2,OK,52.3
ZEPHYR_001,2025-06-17 03:00:00+00:00,28.23,8.8,10.6,83.04,1.4.2,OK,55.78
ZEPHYR_001,2025-06-17 04:00:00+00:00,30.02,7.55,11.56,95.6,1.4.2,OK,59.12
ZEPHYR_001,2025-06-17 05:00:00+00:00,27.86,6.03,13.28,79.24,1.4.2,OK,54.53
ZEPHYR_001,2025-06-17 06:00:00+00:00,30.99,13.78,18.27,74.28,1.4.2,OK,59.62
ZEPHYR_001,2025-06-17 07:00:00+00:00,23.17,10.35,15.92,55.84,1.4.2,OK,44.94
ZEPHYR_001,2025-06-17 08:00:00+00:00,25.24,8.27,20.2,55.53,1.4.2,OK,48.24
ZEPHYR_001,2025-06-17 09:00:00+00:00,30.27,10.27,18.53,36.24,1.4.2,OK,58.18
ZEPHYR_001,2025-06-17 10:00:00+00:00,34.42,8.56,22.66,53.12,1.4.2,MAINT,65.24
ZEPHYR_001,2025-06-17 11:00:00+00:00,27.68,5.9,23.36,52.69,1.4.2,OK,52.34
ZEPHYR_001,2025-06-17 12:00:00+00:00,31.98,9.73,23.03,30.15,1.4.2,OK,60.54
ZEPHYR_001,2025-06-17 13:00:00+00:00,33.22,5.68,24.37,35.14,1.4.2,OK,62.6
ZEPHYR_001,2025-06-17 14:00:00+00:00,39.29,10.3,23.28,30.83,1.4.2,OK,74.31
ZEPHYR_001,2025-06-17 15:00:00+00:00,27.94,8.88,24.63,34.36,1.4.2,OK,52.6
ZEPHYR_001,2025-06-17 16:00:00+00:00,28.22,7.75,22.46,43.1,1.4.2,OK,53.52
ZEPHYR_001,2025-06-17 17:00:00+00:00,29.89,6.87,20.58,27.68,1.4.2,OK,57.05
ZEPHYR_001,2025-06-17 18:00:00+00:00,20.2,9.84,18.58,55.32,1.4.2,OK,38.82
ZEPHYR_001,2025-06-17 19:00:00+00:00,28.0,7.61,18.83,62.43,1.4.2,OK,53.76
ZEPHYR_001,2025-06-17 20:00:00+00:00,21.96,6.3,20.06,55.38,1.4.2,OK,41.99
ZEPHYR_001,2025-06-17 21:00:00+00:00,22.81,9.61,16.48,44.23,1.4.2,OK,44.15
